"CO_ID","ExpenditureAmount","ExpenditureDate","LastName","FirstName","MI","Suffix","Address1","Address2","City","State","Zip","Explanation","RecordID","FiledDate","ExpenditureType",         "PaymentType","DisbursementType","Electioneering","CommitteeType","CommitteeName","CandidateName","Employer","Occupation","Amended","Amendment","AmendedRecordID","Jurisdiction"
"20175032107","85.5","2017-07-17 00:00:00","US POSTAL SERVICE","","","","566 S MCCASLIN","","LOUISVILLE","CO","80027","MAILBOX RENTAL","1063632","2017-10-31 00:00:00","Rent & Utilities","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","191.76","2017-07-17 00:00:00","GODADDY","","","","14455 N HAYDEN ST #226","","SCOTTSDALE","AZ","85260","INTERNET/WEB SERVICES","1079633","2017-10-31 00:00:00","Miscellaneous","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","12","2017-07-31 00:00:00","GREAT WESTERN BANK","","","","2100 MAIN STREET","","LONGMONT","CO","80501","NSF FEE FOR RETURNED DONATION CHECK","1079610","2017-10-31 00:00:00","Bank Fees","Other","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","85.8","2017-08-12 00:00:00","JUDAY","RICHARD","","PHD","4042 HAWTHORNE CIRCLE","","LONGMONT","CO","80503-7660","FOOD, BEVERAGES","1081226","2017-10-31 00:00:00","Fundraising Expenses","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","485.31","2017-08-20 00:00:00","ROSENTHAL","DIANE","","","2945 LAFAYETTE","","BOULDER","CO","80305","FOOD AND SERVICE","1081227","2017-10-31 00:00:00","Fundraising Expenses","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","95","2017-08-25 00:00:00","DEMOCRATIC WOMEN OF BOULDER COUNTY","","","","C/O ANITA POLNER","6379 RED HILL ROAD","BOULDER","CO","80302","DINNER","1079621","2017-10-31 00:00:00","Other","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","130.8","2017-08-29 00:00:00","C&D PRINTING","","","","5351 TENNYSON ST","","DENVER","CO","80212","PRINTING","1079628","2017-10-31 00:00:00","Office Equipment & Supplies","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","99","2017-08-30 00:00:00","LEE","LINDA","","","2348 DOGWOOD CIR","","LOUISVILLE","CO","80027","MOVE OF WEBSITE TO DIFFERENT SERVICE","1079623","2017-10-31 00:00:00","Advertising","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","114.51","2017-08-31 00:00:00","FISCHER","BOB","","","2339 LAVENDER HILL","","LAFAYETTE","CO","80026","FOOD","1079624","2017-10-31 00:00:00","Fundraising Expenses","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","114.51","2017-08-31 00:00:00","FISCHER","ROBERT","","","2339 LAVENDER HILL LAND","","LAFAYETTE","CO","80026","FOOD","1081225","2017-10-31 00:00:00","Fundraising Expenses","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","150","2017-09-13 00:00:00","BOULDER COUNTY DEMOCRATIC PARTY","","","","5735-A1 ARAPAHOE AVE","","BOULDER","CO","80303","HALF-PAGE AD IN DINNER PROGRAM","1079630","2017-10-31 00:00:00","Advertising","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","25","2017-09-18 00:00:00","DEMOCRATIC WOMEN OF BOULDER COUNTY","","","","C/O ANITA POLNER","6379 RED HILL ROAD","BOULDER","CO","80302","LUNCH","1079615","2017-10-31 00:00:00","Miscellaneous","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","34","2017-09-22 00:00:00","USPS","","","","C/O POSTMASTER","566 MCCASLIN","SUPERIOR","CO","80027","MAILBOX AND STAMPS","1079619","2017-10-31 00:00:00","Fundraising Expenses","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","65","2017-09-22 00:00:00","PLAN-BOULDER","","","","PO BOX 4682","","BOULDER","CO","80306","DINNER","1079620","2017-10-31 00:00:00","Miscellaneous","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","27.2","2017-09-25 00:00:00","USPS","","","","C/O POSTMASTER","566 MCCASLIN","SUPERIOR","CO","80027","STAMPS","1079618","2017-10-31 00:00:00","Fundraising Expenses","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","25","2017-10-16 00:00:00","DEMOCRATIC WOMEN OF BOULDER COUNTY","","","","C/O ANITA POLNER","6379 RED HILL ROAD","BOULDER","CO","80302","LUNCH","1079614","2017-10-31 00:00:00","Food, Beverages and Meals","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","27.03","2017-10-25 00:00:00","COLORADO DEMOCRATIC PARTY","","","","789 SHERMAN ST SUITE 110","","DENVER","CO","80203","TRAINING","1079617","2017-10-31 00:00:00","Fundraising Expenses","Credit/Debit Card","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","422.2","2017-10-27 00:00:00","PAYPAL, INC","","","","2211 NORTH FIRST STREET","","SAN JOSE","CA","95131","PAYPAL FEES THROUGH 10-27-2017","1079607","2017-10-31 00:00:00","Fundraising Expenses","Other","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","480.57","2017-10-27 00:00:00","ACTBLUE","","","","PO BOX 441146","","SOMERVILLE","MA","02144","ACTBLUE FEES THROUGH 10-27-2017","1079608","2017-10-31 00:00:00","Fundraising Expenses","Electronic Pay System","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
"20175032107","8.7","2017-10-27 00:00:00","JONES","MATT","","","C/O RICHARD JUDAY","4042 HAWTHORNE CIRCLE","LONGMONT","CO","80503","PARKING FEES","1079609","2017-10-31 00:00:00","Other","Check","Monetary (Itemized)","","Candidate Committee","PEOPLE FOR MATT JONES","MATT JONES","","","N","N","0","BOULDER"
